index,pair,EA_site,PE_site,IP_site,rd_sa
1,CuSc,0.708,1.63,7.1435000000000000,0.58135
2,CuTi,0.6535,1.72,7.277,0.51945
3,CuV,0.8765000000000000,1.765,7.236000000000000,0.47555
4,CuCr,0.9470000000000000,1.7800000000000000,7.2465,0.43935
5,CuMn,0.614,1.725,7.58,0.40825
6,CuFe,0.6955,1.865,7.814,0.38215
7,CuGe,1.2890000000000000,1.9550000000000000,7.813000000000000,0.26665
8,CuY,0.7675,1.56,6.9715,0.94535
9,CuZr,0.827,1.615,7.18,0.84555
10,CuNb,1.0605,1.75,7.2425,0.77355
11,CuMo,0.987,2.0300000000000000,7.409,0.72745
12,CuCd,0.614,1.795,8.36,0.51935
13,CuIn,0.764,1.8400000000000000,6.756,0.49305
14,CuSn,1.214,1.93,7.535,0.46955
15,CuHf,0.614,1.6,7.2755,0.89565
16,CuTa,0.775,1.7,7.808,0.83725
17,CuW,1.0215,2.13,7.853,0.79075
18,CuRe,0.689,1.9,7.803,0.75175
19,CuHg,0.614,1.95,9.082,0.61595
20,CuTl,0.714,1.76,6.917,0.59055
21,ZnSc,0.094,1.505,7.9775,0.58135
22,ZnTi,0.0395,1.595,8.111,0.51945
23,ZnV,0.2625,1.64,8.07,0.47555
24,ZnCr,0.333,1.6550000000000000,8.0805,0.43935
25,ZnMn,0.0,1.6,8.414,0.40825
26,ZnFe,0.0815,1.74,8.648,0.38215
27,ZnGe,0.675,1.8300000000000000,8.647,0.26665
28,ZnY,0.1535,1.435,7.8055,0.94535
29,ZnZr,0.213,1.49,8.014,0.84555
30,ZnNb,0.4465,1.625,8.0765,0.77355
31,ZnMo,0.373,1.905,8.243,0.72745
32,ZnCd,0.0,1.67,9.194000000000000,0.51935
33,ZnIn,0.15,1.7150000000000000,7.59,0.49305
34,ZnSn,0.6,1.805,8.369,0.46955
35,ZnHf,0.0,1.475,8.1095,0.89565
36,ZnTa,0.161,1.575,8.642,0.83725
37,ZnW,0.4075,2.005,8.687000000000000,0.79075
38,ZnRe,0.075,1.775,8.637,0.75175
39,ZnHg,0.0,1.825,9.916,0.61595
40,ZnTl,0.1,1.635,7.7510000000000000,0.59055
41,PdSc,0.37250000000000000,1.7800000000000000,7.449,0.58135
42,PdTi,0.318,1.87,7.5825,0.51945
43,PdV,0.541,1.915,7.5415,0.47555
44,PdCr,0.6115,1.9300000000000000,7.552,0.43935
45,PdMn,0.2785,1.875,7.8855,0.40825
46,PdFe,0.36000000000000000,2.015,8.1195,0.38215
47,PdGe,0.9535,2.105,8.118500000000000,0.26665
48,PdY,0.43200000000000000,1.71,7.277000000000000,0.94535
49,PdZr,0.49150000000000000,1.7650000000000000,7.4855,0.84555
50,PdNb,0.7250000000000000,1.9000000000000000,7.548,0.77355
51,PdMo,0.6515,2.18,7.714500000000000,0.72745
52,PdCd,0.2785,1.945,8.6655,0.51935
53,PdIn,0.4285,1.9900000000000000,7.0615,0.49305
54,PdSn,0.8785000000000000,2.08,7.8405000000000000,0.46955
55,PdHf,0.2785,1.75,7.5810000000000000,0.89565
56,PdTa,0.4395,1.85,8.1135,0.83725
57,PdW,0.6860000000000000,2.2800000000000000,8.1585,0.79075
58,PdRe,0.35350000000000000,2.05,8.1085,0.75175
59,PdHg,0.2785,2.1,9.3875,0.61595
60,PdTl,0.37850000000000000,1.9100000000000000,7.2225,0.59055
