Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Cu_211_Ru_sub_OCO_bridge2-s_SA-C,1,-0.88951,0.0911,0.0718,137.25,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.05,7.5435,1.139,1.925,7.6956,1.2132,5.0,5.3889,2
Pd_111_Co_sub_OCO_bridge_SA-O,2,-0.44730,0.1027,0.037,136.49,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.88,7.881,0.661,1.2915,0,0.359,0.359,2.04,8.109,0.609,2.1787,8.3066,0.5639,6.5,7.3333,2
Pd_111_Ir_sub_OCO_bridge_SA-C,2,-0.13248,0.1283,0.0522,129.13,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.7185,1.061,2.2,8.3879,0.6242,6.5,7.3333,2
Pd_111_Ir_sub_OCO_bridge_SA-O,2,-0.15154,0.1249,0.0364,132.15,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,8.7185,1.061,2.2,8.3879,0.6242,6.5,7.3333,2
Pd_111_Ni_sub_OCO_bridge_SA-O,2,-0.25261,0.0956,0.0378,137.54,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,2.055,7.9885,0.8565,2.1807,8.2905,0.5969,6.5,7.3333,2
Pd_111_Os_sub_OCO_bridge_SA-O,2,-0.33731,0.1421,0.0348,130.16,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3612,0.5932,6.5,7.3333,2
Pd_111_Os_sub_OCO_bridge_SA-C,2,-0.01806,0.1243,0.0575,129.37,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.2,8.5185,0.8285,2.2,8.3612,0.5932,6.5,7.3333,2
Pd_111_Pt_sub_OCO_bridge_SA-C,2,-0.06159,0.1142,0.043,132.37,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.24,8.6685,1.3425,2.2053,8.3812,0.6617,6.5,7.3333,2
Pd_111_Rh_sub_OCO_bridge_SA-O,2,-0.31108,0.1075,0.0382,134.69,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2053,8.2785,0.5957,6.5,7.3333,2
Pd_111_Rh_sub_OCO_bridge_SA-C,2,-0.11707,0.1081,0.0518,133.42,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.24,7.898,0.847,2.2053,8.2785,0.5957,6.5,7.3333,2
Pd_111_Ru_sub_OCO_bridge_SA-O,2,-0.40234,0.1173,0.0371,133.52,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2719,0.5899,6.5,7.3333,2
Pd_111_Ru_sub_OCO_bridge_SA-C,2,-0.22805,0.0807,0.0639,139.49,2.2,8.337,0.557,1.4075,0,0.5806,0.5806,2.749,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.2,7.849,0.8035,2.2,8.2719,0.5899,6.5,7.3333,2
