Site,label_metal,E_ads,max_d_CO,min_d_CO,OCO_ang,PE_h,IP_h,EA_h,rs_h,rp_h,rd_h,rval_h,bulk_nnd,PE_sa,IP_sa,EA_sa,rs_sa,rp_sa,rd_sa,rval_sa,PE_site,IP_site,EA_site,PE_snn,IP_snn,EA_snn,CN,gen_CN,site_no
Cu_100_Ni_sub_OCO_ontop_SA-C,1,-0.11732,0.0739,0.0739,138.26,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.9033,7.6973,1.204,1.9005,7.7215,1.2242,5.3333,6.6667,3
Cu_100_Ni_sub_OCO_bridge_SA-C,1,-0.20680,0.0999,0.05,135.93,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,1.91,7.64,1.156,1.2532,0,0.3378,0.3378,1.905,7.683,1.192,1.9007,7.7199,1.2229,6.0,6.6667,2
Cu_100_Os_sub_OCO_hollow_SA-C,1,-0.91096,0.1076,0.0897,132.45,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,1.975,7.9695,1.196,1.9143,7.7724,1.2219,4.25,6.6154,4
Cu_100_Os_sub_OCO_bridge_SA-C,1,-0.73018,0.1016,0.0668,136.78,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.2,8.7,1.1,1.3127,0,0.7191,0.7191,2.05,8.213,1.164,1.9214,7.7956,1.2189,6.0,6.6667,2
Cu_100_Pt_sub_OCO_bridge_SA-C,1,-0.10513,0.0971,0.0403,136.39,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.28,9.0,2.128,1.2686,0,0.6705,0.6705,2.09,8.363,1.678,1.9271,7.817,1.2923,6.0,6.6667,2
Cu_100_Rh_sub_OCO_hollow_3at_SA-C,1,-0.34743,0.1483,0.0476,129.65,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.0267,7.637,1.1977,1.9211,7.7112,1.2229,5.0,6.6087,3
Cu_100_Rh_sub_OCO_ontop_SA-C,1,-0.05426,0.0572,0.0572,144.11,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.28,7.459,1.137,1.9422,7.6963,1.2179,8.0,6.6667,1
Cu_100_Rh_sub_OCO_bridge_SA-C,1,-0.30658,0.1016,0.0473,136.34,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.28,7.459,1.137,1.4462,0,0.613,0.613,2.09,7.5925,1.1825,1.9271,7.7069,1.2215,6.0,6.6667,2
Cu_100_Ru_sub_OCO_bridge_SA-C,1,-0.60999,0.0869,0.0667,138.3,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,2.05,7.5435,1.139,1.9214,7.6999,1.2153,6.0,6.6667,2
Cu_100_Ru_sub_OCO_hollow_SA-C,1,-0.79042,0.0943,0.0921,132.94,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.53,2.2,7.361,1.05,1.4756,0,0.6473,0.6473,1.975,7.6347,1.1835,1.9143,7.7086,1.2195,4.25,6.6154,4
Cu_110_Co_sub_OCO_long_SA-C,1,-0.19477,0.0781,0.0698,136.11,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.88,7.881,0.661,1.2915,0,0.359,0.359,1.89,7.8035,0.9445,1.8986,7.7371,1.1875,6.0,5.9,2
Cu_110_Co_sub_OCO_short_SA-C,1,-0.30027,0.0764,0.0618,139.66,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,1.88,7.881,0.661,1.2915,0,0.359,0.359,1.89,7.8035,0.9445,1.8983,7.7389,1.1807,5.0,5.7778,2
Cu_110_Ir_sub_OCO_hollow_3at_SA-C,1,-0.74091,0.1091,0.1067,124.94,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.0,8.184,1.3403,1.9167,7.8023,1.2467,5.0,5.8462,3
Cu_110_Ir_sub_OCO_ontop_SA-C,1,-0.30444,0.0579,0.0578,143.65,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.2,9.1,1.565,1.9375,7.8978,1.2701,7.0,5.8333,1
Cu_110_Ir_sub_OCO_long_SA-C,1,-0.74854,0.0895,0.0846,132.72,1.9,7.726,1.228,1.1989,0,0.3191,1.1989,2.529,2.2,9.1,1.565,1.291,0,0.6938,0.6938,2.05,8.413,1.3965,1.9214,7.8241,1.2521,6.0,5.9,2
