index,host,pair,EA_site,IP_site,PE_site,rd_saAB
1,Cu,ScTi,0.1335,6.6945,1.4500000000000000,0.5504
2,Cu,ScV,0.3565,6.6535,1.495,0.52845
3,Cu,ScCr,0.427,6.664,1.51,0.5103500000000000
4,Cu,ScMn,0.094,6.9975000000000000,1.455,0.4948
5,Cu,ScFe,0.1755,7.2315,1.5950000000000000,0.48175
6,Cu,ScCo,0.4245,7.221,1.62,0.4702
7,Cu,ScNi,0.6720000000000000,7.1005,1.635,0.459575
8,Cu,ScZn,0.094,7.9775,1.505,0.440575
9,Cu,ScGa,0.244,6.280000000000000,1.585,0.431875
10,Cu,ScGe,0.769,7.2305,1.685,0.424
11,Cu,ScY,0.2475,6.389000000000000,1.29,0.76335
12,Cu,ScZr,0.307,6.5975,1.3450000000000000,0.71345
13,Cu,ScNb,0.5405,6.66,1.48,0.67745
14,Cu,ScMo,0.4670000000000000,6.826500000000000,1.7600000000000000,0.6544000000000000
15,Cu,ScRu,0.619,6.961,1.7800000000000000,0.61435
16,Cu,ScRh,0.6625,7.01,1.82,0.5971500000000000
17,Cu,ScPd,0.3725,7.449,1.7800000000000000,0.581
18,Cu,ScAg,0.745,7.0685,1.645,0.5651000000000000
19,Cu,ScCd,0.094,7.7775,1.525,0.55035
20,Cu,ScIn,0.244,6.1735,1.57,0.5372
21,Cu,ScSn,0.694,6.952500000000000,1.66,0.52545
22,Cu,ScHf,0.094,6.693,1.33,0.7385000000000000
23,Cu,ScTa,0.255,7.2255,1.4300000000000000,0.7093
24,Cu,ScW,0.5015,7.2705,1.86,0.68605
25,Cu,ScRe,0.1690000000000000,7.220500000000000,1.63,0.66655
26,Cu,ScOs,0.644,7.6305,1.7800000000000000,0.65025
27,Cu,ScIr,0.8765,7.8305,1.7800000000000000,0.6376
28,Cu,ScPt,1.158,7.7805,1.82,0.62595
29,Cu,ScAu,1.2485000000000000,7.8935,1.95,0.6125
30,Cu,ScHg,0.094,8.499500000000000,1.6800000000000000,0.59865
31,Cu,ScTl,0.194,6.3345,1.4900000000000000,0.58595
32,Cu,TiV,0.302,6.787000000000000,1.585,0.4975000000000000
33,Cu,TiCr,0.3725,6.7975,1.6,0.4794
34,Cu,TiMn,0.0395,7.131,1.545,0.46385
35,Cu,TiFe,0.121,7.365,1.685,0.4508
36,Cu,TiCo,0.37,7.3545,1.71,0.43925
37,Cu,TiNi,0.6175000000000000,7.234,1.725,0.428625
38,Cu,TiZn,0.0395,8.111,1.595,0.409625
39,Cu,TiGa,0.1895,6.4135,1.675,0.400925
40,Cu,TiGe,0.7145,7.364000000000000,1.775,0.39305
41,Cu,TiY,0.193,6.5225,1.38,0.7324000000000000
42,Cu,TiZr,0.2525,6.731,1.435,0.6825
43,Cu,TiNb,0.486,6.7935,1.57,0.6465
44,Cu,TiMo,0.4125,6.96,1.85,0.6234500000000000
45,Cu,TiRu,0.5645,7.0945,1.87,0.5834000000000000
46,Cu,TiRh,0.608,7.1435,1.91,0.5662
47,Cu,TiPd,0.318,7.5825,1.87,0.5500500000000000
48,Cu,TiAg,0.6905,7.202,1.735,0.5341500000000000
49,Cu,TiCd,0.0395,7.911,1.615,0.5194
50,Cu,TiIn,0.1895,6.307,1.66,0.50625
51,Cu,TiSn,0.6395,7.086,1.75,0.4945
52,Cu,TiHf,0.0395,6.8265,1.42,0.7075500000000000
53,Cu,TiTa,0.2005,7.359,1.52,0.67835
54,Cu,TiW,0.4470000000000000,7.404,1.95,0.6551
55,Cu,TiRe,0.1145000000000000,7.354,1.72,0.6356000000000000
56,Cu,TiOs,0.5895,7.764000000000000,1.87,0.6193
57,Cu,TiIr,0.822,7.964,1.87,0.6066500000000000
58,Cu,TiPt,1.1035,7.914,1.91,0.595
59,Cu,TiAu,1.1940000000000000,8.027000000000000,2.04,0.58155
60,Cu,TiHg,0.0395,8.633000000000000,1.77,0.5677
61,Cu,TiTl,0.1395,6.468,1.58,0.5550000000000000
62,Cu,VCr,0.5955,6.756500000000000,1.645,0.45745
63,Cu,VMn,0.2625,7.09,1.59,0.4419000000000000
64,Cu,VFe,0.344,7.324,1.73,0.4288500000000000
65,Cu,VCo,0.593,7.3135,1.755,0.4173
66,Cu,VNi,0.8405,7.193,1.77,0.406675
67,Cu,VZn,0.2625,8.07,1.64,0.387675
68,Cu,VGa,0.4125,6.3725000000000000,1.72,0.3789750000000000
69,Cu,VGe,0.9375,7.323,1.82,0.3711
70,Cu,VY,0.416,6.4815000000000000,1.4250000000000000,0.71045
71,Cu,VZr,0.4755,6.69,1.48,0.66055
72,Cu,VNb,0.7090000000000000,6.7525,1.615,0.6245500000000000
73,Cu,VMo,0.6355,6.9190000000000000,1.895,0.6015
74,Cu,VRu,0.7875000000000000,7.0535,1.915,0.56145
75,Cu,VRh,0.831,7.1025,1.955,0.54425
76,Cu,VPd,0.541,7.5415,1.915,0.5281
77,Cu,VAg,0.9135,7.161,1.7800000000000000,0.5122
78,Cu,VCd,0.2625,7.87,1.66,0.4974500000000000
79,Cu,VIn,0.4125,6.266,1.705,0.4843000000000000
80,Cu,VSn,0.8625,7.045,1.795,0.47255
81,Cu,VHf,0.2625,6.785500000000000,1.465,0.6856
82,Cu,VTa,0.4235,7.318,1.565,0.6564
83,Cu,VW,0.6700000000000000,7.363,1.995,0.63315
84,Cu,VRe,0.3375,7.313000000000000,1.765,0.61365
85,Cu,VOs,0.8125,7.723,1.915,0.5973500000000000
86,Cu,VIr,1.045,7.923,1.915,0.5847
87,Cu,VPt,1.3265,7.873,1.955,0.57305
88,Cu,VAu,1.417,7.986000000000000,2.085,0.5596
89,Cu,VHg,0.2625,8.592,1.815,0.54575
90,Cu,VTl,0.3625,6.427,1.625,0.53305
91,Cu,CrMn,0.333,7.1005,1.605,0.4238
92,Cu,CrFe,0.4145,7.3345,1.745,0.41075
93,Cu,CrCo,0.6635,7.324,1.77,0.3992
94,Cu,CrNi,0.911,7.2035,1.785,0.388575
95,Cu,CrZn,0.333,8.0805,1.6550000000000000,0.369575
96,Cu,CrGa,0.483,6.383,1.735,0.360875
97,Cu,CrGe,1.008,7.333500000000000,1.835,0.353
98,Cu,CrY,0.4865,6.492,1.44,0.69235
99,Cu,CrZr,0.546,6.7005,1.495,0.64245
100,Cu,CrNb,0.7795000000000000,6.763,1.63,0.6064500000000000
101,Cu,CrMo,0.706,6.9295,1.91,0.5834
102,Cu,CrRu,0.8580000000000000,7.064,1.93,0.54335
103,Cu,CrRh,0.9015,7.113,1.97,0.52615
104,Cu,CrPd,0.6115,7.552,1.93,0.51
105,Cu,CrAg,0.984,7.1715,1.795,0.4941
106,Cu,CrCd,0.333,7.8805,1.6750000000000000,0.47935
107,Cu,CrIn,0.483,6.2765,1.72,0.4662
108,Cu,CrSn,0.933,7.0555,1.81,0.45445
109,Cu,CrHf,0.333,6.796,1.48,0.6675
110,Cu,CrTa,0.494,7.3285,1.58,0.6383000000000000
111,Cu,CrW,0.7405000000000000,7.3735,2.01,0.61505
112,Cu,CrRe,0.408,7.3235,1.7800000000000000,0.59555
113,Cu,CrOs,0.883,7.733500000000000,1.93,0.57925
114,Cu,CrIr,1.1155,7.9335,1.93,0.5666
115,Cu,CrPt,1.397,7.8835,1.97,0.55495
116,Cu,CrAu,1.4875,7.996500000000000,2.1,0.5415000000000000
117,Cu,CrHg,0.333,8.602500000000000,1.83,0.52765
118,Cu,CrTl,0.433,6.4375,1.64,0.51495
119,Cu,MnFe,0.0815,7.668,1.69,0.3952
120,Cu,MnCo,0.3305,7.657500000000000,1.715,0.38365
121,Cu,MnNi,0.578,7.537,1.73,0.373025
122,Cu,MnZn,0.0,8.414,1.6,0.354025
123,Cu,MnGa,0.15,6.7165,1.6800000000000000,0.345325
124,Cu,MnGe,0.675,7.667,1.7800000000000000,0.33745
125,Cu,MnY,0.1535,6.8255,1.385,0.6768000000000000
126,Cu,MnZr,0.213,7.034000000000000,1.44,0.6269
127,Cu,MnNb,0.4465,7.096500000000000,1.5750000000000000,0.5909
128,Cu,MnMo,0.373,7.263,1.855,0.56785
129,Cu,MnRu,0.525,7.3975,1.875,0.5278
130,Cu,MnRh,0.5685,7.4465,1.915,0.5106000000000000
131,Cu,MnPd,0.2785,7.8855,1.875,0.49445
132,Cu,MnAg,0.651,7.505,1.74,0.47855
133,Cu,MnCd,0.0,8.214,1.62,0.4638
134,Cu,MnIn,0.15,6.610000000000000,1.665,0.45065
135,Cu,MnSn,0.6,7.389,1.755,0.4389
136,Cu,MnHf,0.0,7.1295,1.425,0.65195
137,Cu,MnTa,0.161,7.662,1.525,0.62275
138,Cu,MnW,0.4075,7.707000000000000,1.955,0.5995000000000000
139,Cu,MnRe,0.075,7.657,1.725,0.5800000000000000
140,Cu,MnOs,0.55,8.067,1.875,0.5637
141,Cu,MnIr,0.7825,8.267,1.875,0.55105
142,Cu,MnPt,1.064,8.217,1.915,0.5394
143,Cu,MnAu,1.1545,8.33,2.045,0.52595
144,Cu,MnHg,0.0,8.936,1.775,0.5121
145,Cu,MnTl,0.1,6.771,1.585,0.4994
146,Cu,FeCo,0.412,7.891500000000000,1.855,0.3706
147,Cu,FeNi,0.6595,7.771,1.87,0.359975
148,Cu,FeZn,0.0815,8.648,1.74,0.340975
149,Cu,FeGa,0.2315000000000000,6.9505,1.82,0.332275
150,Cu,FeGe,0.7565000000000000,7.901,1.92,0.3244
151,Cu,FeY,0.235,7.0595,1.525,0.6637500000000000
152,Cu,FeZr,0.2945,7.268000000000000,1.58,0.61385
153,Cu,FeNb,0.528,7.330500000000000,1.715,0.57785
154,Cu,FeMo,0.4545,7.497,1.995,0.5548
155,Cu,FeRu,0.6065,7.6315,2.015,0.51475
156,Cu,FeRh,0.65,7.6805,2.055,0.49755
157,Cu,FePd,0.36,8.1195,2.015,0.4814
158,Cu,FeAg,0.7325,7.739,1.88,0.4655000000000000
159,Cu,FeCd,0.0815,8.448,1.76,0.45075
160,Cu,FeIn,0.2315000000000000,6.844000000000000,1.805,0.4376
161,Cu,FeSn,0.6815,7.623,1.895,0.42585
162,Cu,FeHf,0.0815,7.3635,1.565,0.6389
163,Cu,FeTa,0.2425,7.896,1.665,0.6097
164,Cu,FeW,0.489,7.941000000000000,2.095,0.5864500000000000
165,Cu,FeRe,0.1565,7.891,1.865,0.5669500000000000
166,Cu,FeOs,0.6315000000000000,8.301,2.015,0.55065
167,Cu,FeIr,0.864,8.501,2.015,0.538
168,Cu,FePt,1.1455,8.451,2.055,0.52635
169,Cu,FeAu,1.236,8.564,2.185,0.5129
170,Cu,FeHg,0.0815,9.17,1.915,0.49905
171,Cu,FeTl,0.1815,7.005,1.725,0.48635
172,Cu,CoNi,0.9085,7.7605,1.895,0.348425
173,Cu,CoZn,0.3305,8.6375,1.765,0.3294250000000000
174,Cu,CoGa,0.4805,6.94,1.845,0.320725
175,Cu,CoGe,1.0055,7.8905,1.945,0.3128500000000000
176,Cu,CoY,0.484,7.049,1.5500000000000000,0.6522
177,Cu,CoZr,0.5435,7.2575,1.605,0.6023000000000000
178,Cu,CoNb,0.777,7.32,1.74,0.5663
179,Cu,CoMo,0.7035,7.486500000000000,2.02,0.54325
180,Cu,CoRu,0.8555,7.621,2.04,0.5032
181,Cu,CoRh,0.899,7.67,2.08,0.486
182,Cu,CoPd,0.609,8.109,2.04,0.46985
183,Cu,CoAg,0.9815,7.7285,1.905,0.4539500000000000
184,Cu,CoCd,0.3305,8.4375,1.785,0.4392
185,Cu,CoIn,0.4805,6.8335,1.83,0.42605
186,Cu,CoSn,0.9305,7.612500000000000,1.92,0.4143
187,Cu,CoHf,0.3305,7.353,1.59,0.62735
188,Cu,CoTa,0.4915,7.8855,1.69,0.59815
189,Cu,CoW,0.738,7.9305,2.12,0.5749
190,Cu,CoRe,0.4055,7.8805,1.89,0.5554
191,Cu,CoOs,0.8805000000000000,8.2905,2.04,0.5391000000000000
192,Cu,CoIr,1.113,8.4905,2.04,0.52645
193,Cu,CoPt,1.3945,8.4405,2.08,0.5148000000000000
194,Cu,CoAu,1.485,8.5535,2.21,0.50135
195,Cu,CoHg,0.3305,9.1595,1.94,0.4875
